HEADER
LISTA DEL SORTEO EXTRAORDINARIO NO. 410
|PRIMER PREMIO 06857 ||| SEGUNDO PREMIO 12146 ||| TERCER PREMIO 31837|
REINTEGROS 7,6 ,7
FECHA DEL SORTEO: 11/04/2026 --- FECHA DE CADUCIDAD: 12/10/2026
VER LISTA DE COMBINACIONES

BODY
CENTENARES
31157 DTR .... 750.00
31257 DTR .... 750.00
31357 DTR .... 750.00
31457 DTR .... 750.00
31482 P .... 600.00
31531 P .... 1,200.00
31557 DTR .... 750.00
31591 P .... 800.00
31647 PDR .... 1,600.00
31657 DTR .... 750.00
31757 DTR .... 750.00
31801 C .... 900.00
31802 C .... 900.00
31803 C .... 900.00
31804 C .... 900.00
31805 C .... 900.00
31806 CR .... 1,050.00
31807 CDR .... 1,200.00
31808 C .... 900.00
31809 C .... 900.00
31810 C .... 900.00
31811 C .... 900.00
31812 C .... 900.00
31813 C .... 900.00
31814 C .... 900.00
31815 C .... 900.00
31816 CR .... 1,050.00
31817 CDR .... 1,200.00
31818 C .... 900.00
31819 C .... 900.00
31820 C .... 900.00
31821 C .... 900.00
31822 C .... 900.00
31823 C .... 900.00
31824 C .... 900.00
31825 C .... 900.00
31826 CR .... 1,050.00
31827 CDR .... 1,200.00
31828 C .... 900.00
31829 C .... 900.00
31830 C .... 900.00
31831 C .... 900.00
31832 C .... 900.00
31833 C .... 900.00
31834 C .... 900.00
31835 P .... 6,000.00
VENDIDO POR JOSÉ IGNACIO AVILA ELEL, DE CHIMALTENANGO, CHIMALTENANGO
31836 PR .... 6,150.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL PEDRO ESTUARDO SEQUEN SOSA, DE ESTA CAPITAL
31837 PR .... 150,150.00
VENDIDO POR FABIAN CHIC CHIPEL, DE ESTA CAPITAL
31838 P .... 6,000.00
VENDIDO POR INGRID CARMELA MORENO MIJANGOS, DE ESTA CAPITAL
31839 P .... 6,000.00
VENDIDO POR IRMA ESPERANZA TAX SOLIS DE TACAM, DE QUETZALTENANGO, QUETZALTENANGO
31840 C .... 900.00
31841 C .... 900.00
31842 C .... 900.00
31843 C .... 900.00
31844 C .... 900.00
31845 C .... 900.00
31846 CR .... 1,050.00
31847 CDR .... 1,200.00
31848 C .... 900.00
31849 C .... 900.00
31850 C .... 900.00
31851 C .... 900.00
31852 C .... 900.00
31853 C .... 900.00
31854 C .... 900.00
31855 C .... 900.00
31856 CR .... 1,050.00
31857 CTTR .... 2,250.00
VENDIDO POR JUAN TÓJIN PÚ, DE ESTA CAPITAL
31858 C .... 900.00
31859 C .... 900.00
31860 C .... 900.00
31861 C .... 900.00
31862 C .... 900.00
31863 C .... 900.00
31864 C .... 900.00
31865 C .... 900.00
31866 CR .... 1,050.00
31867 CDR .... 1,200.00
31868 C .... 900.00
31869 C .... 900.00
31870 C .... 900.00
31871 C .... 900.00
31872 C .... 900.00
31873 C .... 900.00
31874 C .... 900.00
31875 C .... 900.00
31876 CR .... 1,050.00
31877 CDR .... 1,200.00
31878 C .... 900.00
31879 C .... 900.00
31880 C .... 900.00
31881 C .... 900.00
31882 C .... 900.00
31883 C .... 900.00
31884 C .... 900.00
31885 C .... 900.00
31886 CR .... 1,050.00
31887 CDR .... 1,200.00
31888 C .... 900.00
31889 C .... 900.00
31890 C .... 900.00
31891 C .... 900.00
31892 C .... 900.00
31893 C .... 900.00
31894 C .... 900.00
31895 C .... 900.00
31896 CR .... 1,050.00
31897 CDR .... 1,200.00
31898 C .... 900.00
31899 C .... 900.00
31900 C .... 900.00
31957 DTR .... 750.00
31977 PDR .... 2,300.00
VENDIDO POR VICENTA SOCH CHIPEL DE PACHECO, DE ESTA CAPITAL

TREINTA Y DOS MIL
32057 DTR .... 750.00
32131 P .... 600.00
32146 TT .... 1,000.00
32157 DTR .... 750.00
32257 DTR .... 750.00
32357 DTR .... 750.00
32457 DTR .... 750.00
32557 DTR .... 750.00
32657 DTR .... 750.00
32739 P .... 1,300.00
