HEADER
LISTA DEL SORTEO ORDINARIO NO. 3085
|PRIMER PREMIO 36568 ||| SEGUNDO PREMIO 71693 ||| TERCER PREMIO 02141|
REINTEGROS 8,3 ,1
FECHA DEL SORTEO: 31/05/2025 --- FECHA DE CADUCIDAD: 01/12/2025
VER LISTA DE COMBINACIONES

BODY
CENTENARES
62126 P .... 600.00
62141 TT .... 500.00
62568 TT .... 700.00
62693 TT .... 600.00

SESENTA Y TRES MIL
63141 TT .... 500.00
63415 P .... 1,000.00
63498 PR .... 1,070.00
63568 TT .... 700.00
63693 TT .... 600.00
63723 PR .... 670.00
63972 P .... 600.00

SESENTA Y CUATRO MIL
64121 PR .... 770.00
64141 TT .... 500.00
64157 P .... 700.00
64510 P .... 1,000.00
64568 TT .... 700.00
64693 TT .... 600.00

SESENTA Y CINCO MIL
65141 TT .... 500.00
65431 PR .... 770.00
65568 TT .... 700.00
65693 TT .... 600.00

SESENTA Y SEIS MIL
66053 PR .... 3,070.00
VENDIDO POR ERNESTO JONATHAN MAZARIEGOS MÉRIDA, DE COATEPEQUE, QUETZALTENANGO
66141 TT .... 500.00
66485 P .... 1,000.00
66499 P .... 600.00
66568 TT .... 700.00
66573 PR .... 2,070.00
VENDIDO POR JERÓNIMO PACHECO MALDONADO, DE ESTA CAPITAL
66609 P .... 700.00
66670 P .... 600.00
66681 PR .... 2,070.00
VENDIDO POR LUIS ROLANDO CHIGUA ESPINOZA, DE PUERTO BARRIOS, IZABAL
66693 TT .... 600.00
66715 P .... 600.00

SESENTA Y SIETE MIL
67141 TT .... 500.00
67207 P .... 1,000.00
67568 TT .... 700.00
67693 TT .... 600.00
67936 P .... 700.00

SESENTA Y OCHO MIL
68141 TT .... 500.00
68568 TT .... 700.00
68693 TT .... 600.00

